system,T,seed,task,variant,has_tag,ctx_tokens,success,hit1,rr,latency_ms,cost_usd
SYNAPSE,300,1,task_029::perturbed_0,perturbed_0,1,974,1.0,1.0,1.0,1.1060000106226653,0.007305000000000001
MCP,300,1,task_029::perturbed_0,perturbed_0,1,21070,1.0,0.0,0.5,1.6266000020550564,0.15802500000000003
SYNAPSE,300,1,task_029::perturbed_1,perturbed_1,0,970,1.0,1.0,1.0,1.0624999995343387,0.007275
MCP,300,1,task_029::perturbed_1,perturbed_1,0,21070,1.0,0.0,0.5,1.5224000089801848,0.15802500000000003
SYNAPSE,300,2,task_000::clean,clean,1,1002,1.0,1.0,1.0,1.554500006022863,0.007515000000000001
MCP,300,2,task_000::clean,clean,1,21193,1.0,1.0,1.0,1.7900999955600128,0.15894750000000002
SYNAPSE,300,2,task_000::perturbed_0,perturbed_0,1,1002,1.0,1.0,1.0,1.3065999955870211,0.007515000000000001
MCP,300,2,task_000::perturbed_0,perturbed_0,1,21193,1.0,1.0,1.0,1.6351000085705891,0.15894750000000002
SYNAPSE,300,2,task_000::perturbed_1,perturbed_1,1,996,1.0,1.0,1.0,1.1716000008163974,0.007470000000000001
MCP,300,2,task_000::perturbed_1,perturbed_1,1,21193,1.0,0.0,0.5,1.6245000006165355,0.15894750000000002
SYNAPSE,300,2,task_001::clean,clean,1,998,1.0,1.0,1.0,1.0624999995343387,0.007485
MCP,300,2,task_001::clean,clean,1,21193,1.0,1.0,1.0,2.1557000000029802,0.15894750000000002
SYNAPSE,300,2,task_001::perturbed_0,perturbed_0,0,998,1.0,1.0,1.0,1.256999996257946,0.007485
MCP,300,2,task_001::perturbed_0,perturbed_0,0,21193,1.0,0.0,0.16666666666666666,1.6703000001143664,0.15894750000000002
SYNAPSE,300,2,task_001::perturbed_1,perturbed_1,1,1002,1.0,0.0,0.5,1.3063000078545883,0.007515000000000001
MCP,300,2,task_001::perturbed_1,perturbed_1,1,21193,1.0,0.0,0.25,1.7176999972434714,0.15894750000000002
SYNAPSE,300,2,task_002::clean,clean,1,970,1.0,1.0,1.0,1.444399997126311,0.007275
MCP,300,2,task_002::clean,clean,1,21193,1.0,1.0,1.0,2.424200007226318,0.15894750000000002
SYNAPSE,300,2,task_002::perturbed_0,perturbed_0,1,970,1.0,1.0,1.0,1.2374000070849434,0.007275
MCP,300,2,task_002::perturbed_0,perturbed_0,1,21193,1.0,1.0,1.0,1.8275000038556755,0.15894750000000002
SYNAPSE,300,2,task_002::perturbed_1,perturbed_1,0,970,1.0,1.0,1.0,1.4844999968772754,0.007275
MCP,300,2,task_002::perturbed_1,perturbed_1,0,21193,1.0,1.0,1.0,2.3572999925818294,0.15894750000000002
SYNAPSE,300,2,task_003::clean,clean,1,962,1.0,1.0,1.0,1.5358000091509894,0.007215000000000001
MCP,300,2,task_003::clean,clean,1,21193,1.0,1.0,1.0,2.9126000008545816,0.15894750000000002
SYNAPSE,300,2,task_003::perturbed_0,perturbed_0,0,679,0.0,0.0,0.0,1.9715000089490786,0.005092500000000001
MCP,300,2,task_003::perturbed_0,perturbed_0,0,21193,1.0,0.0,0.2,1.9510999991325662,0.15894750000000002
SYNAPSE,300,2,task_003::perturbed_1,perturbed_1,1,958,1.0,1.0,1.0,1.2633000005735084,0.007185
MCP,300,2,task_003::perturbed_1,perturbed_1,1,21193,1.0,0.0,0.5,2.1207999961916357,0.15894750000000002
SYNAPSE,300,2,task_004::clean,clean,1,978,1.0,1.0,1.0,1.3644999999087304,0.007335
MCP,300,2,task_004::clean,clean,1,21193,1.0,1.0,1.0,2.03499999770429,0.15894750000000002
SYNAPSE,300,2,task_004::perturbed_0,perturbed_0,1,978,1.0,1.0,1.0,3.486700006760657,0.007335
MCP,300,2,task_004::perturbed_0,perturbed_0,1,21193,1.0,1.0,1.0,2.284800008055754,0.15894750000000002
SYNAPSE,300,2,task_004::perturbed_1,perturbed_1,0,679,0.0,0.0,0.0,1.8447000038577244,0.005092500000000001
MCP,300,2,task_004::perturbed_1,perturbed_1,0,21193,1.0,0.0,0.125,2.471200001309626,0.15894750000000002
SYNAPSE,300,2,task_005::clean,clean,1,987,1.0,1.0,1.0,1.8270000000484288,0.0074025
MCP,300,2,task_005::clean,clean,1,21193,1.0,1.0,1.0,2.0091000042157248,0.15894750000000002
